ID,TYPE,NAME,PHASE,LEVEL_BAND,REGION,MAP,DEPENDENCIES,SYSTEM_STATUS,CONTENT_STATUS,ART_STATUS,MOBILE_STATUS,PRIORITY,NOTES
QARC_R03_REPEAT,QUEST_ARC,Sunmere Duties,MID,28-36,R03,MAP_R03_01..05,QARC_R03_MAIN,PLANNED,LOCKED,NOT_REQUIRED,PLANNED,P2,5 repeatable quests
QARC_R04_MAIN,QUEST_ARC,Cinderpeak Main Arc,MID,37-48,R04,MAP_R04_01..05,R04;NPC_R04_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,18 main quests
QARC_R04_SIDE,QUEST_ARC,Cinderpeak Side Stories,MID,37-48,R04,MAP_R04_01..05,NPC_R04_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,12 side quests
QARC_R04_REPEAT,QUEST_ARC,Cinderpeak Duties,LATE,40-48,R04,MAP_R04_01..05,QARC_R04_MAIN,PLANNED,LOCKED,NOT_REQUIRED,PLANNED,P2,5 repeatable quests
QARC_R05_MAIN,QUEST_ARC,Starfall Main Arc,LATE,49-60,R05,MAP_R05_01..05,R05;NPC_R05_01..07,PLANNED,LOCKED,PARTIAL,PLANNED,P1,18 main quests
QARC_R05_SIDE,QUEST_ARC,Starfall Side Stories,LATE,49-60,R05,MAP_R05_01..05,NPC_R05_01..07,PLANNED,LOCKED,PARTIAL,PLANNED,P1,12 side quests
QARC_R05_REPEAT,QUEST_ARC,Starfall Duties,LATE,52-60,R05,MAP_R05_01..05,QARC_R05_MAIN,PLANNED,LOCKED,NOT_REQUIRED,PLANNED,P2,5 repeatable quests
NPC_R01_01,NPC,Amberway Guide,EARLY,1-12,R01,MAP_R01_01,QARC_R01_MAIN,PARTIAL,LOCKED,READY,PARTIAL,P0,Merchant-direction source can seed silhouette
NPC_R01_02,NPC,Amberway Merchant,EARLY,1-12,R01,MAP_R01_01,QARC_R01_SIDE,PARTIAL,LOCKED,READY,PARTIAL,P0,Canonical merchant
NPC_R01_03,NPC,Amberway Smith,EARLY,1-12,R01,MAP_R01_01,QARC_R01_MAIN,PARTIAL,LOCKED,READY,PARTIAL,P0,Canonical blacksmith
NPC_R01_04,NPC,Amberway Healer,EARLY,1-12,R01,MAP_R01_01,QARC_R01_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R01_05,NPC,Amberway Warden,EARLY,1-12,R01,MAP_R01_04,QARC_R01_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R01_06,NPC,Amberway Scout,EARLY,1-12,R01,MAP_R01_03,QARC_R01_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R01_07,NPC,Amberway Keeper,EARLY,1-12,R01,MAP_R01_05,DGN_01,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_01,NPC,Thornwatch Guide,EARLY,13-24,R02,MAP_R02_01,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_02,NPC,Thornwatch Merchant,EARLY,13-24,R02,MAP_R02_01,QARC_R02_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_03,NPC,Thornwatch Smith,EARLY,13-24,R02,MAP_R02_01,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_04,NPC,Thornwatch Healer,EARLY,13-24,R02,MAP_R02_01,QARC_R02_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_05,NPC,Rootbound Warden,EARLY,13-24,R02,MAP_R02_04,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_06,NPC,Briar Scout,EARLY,13-24,R02,MAP_R02_03,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R02_07,NPC,Bramblegate Keeper,EARLY,13-24,R02,MAP_R02_05,DGN_02,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_01,NPC,Sunmere Guide,MID,25-36,R03,MAP_R03_01,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_02,NPC,Sunmere Merchant,MID,25-36,R03,MAP_R03_01,QARC_R03_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_03,NPC,Sunmere Smith,MID,25-36,R03,MAP_R03_01,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_04,NPC,Sunmere Healer,MID,25-36,R03,MAP_R03_01,QARC_R03_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_05,NPC,Tideglass Warden,MID,25-36,R03,MAP_R03_03,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_06,NPC,Coralwind Scout,MID,25-36,R03,MAP_R03_02,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R03_07,NPC,Stormshell Keeper,MID,25-36,R03,MAP_R03_05,DGN_03,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_01,NPC,Cinderpost Guide,MID,37-48,R04,MAP_R04_01,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_02,NPC,Cinderpost Merchant,MID,37-48,R04,MAP_R04_01,QARC_R04_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_03,NPC,Cinderpost Smith,MID,37-48,R04,MAP_R04_01,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_04,NPC,Cinderpost Healer,MID,37-48,R04,MAP_R04_01,QARC_R04_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_05,NPC,Caldera Warden,LATE,37-48,R04,MAP_R04_04,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_06,NPC,Ashstep Scout,MID,37-48,R04,MAP_R04_02,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R04_07,NPC,Marchfire Keeper,LATE,37-48,R04,MAP_R04_05,DGN_04,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_01,NPC,Starfen Guide,LATE,49-60,R05,MAP_R05_01,QARC_R05_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_02,NPC,Starfen Merchant,LATE,49-60,R05,MAP_R05_01,QARC_R05_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_03,NPC,Starfen Smith,LATE,49-60,R05,MAP_R05_01,QARC_R05_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_04,NPC,Starfen Healer,LATE,49-60,R05,MAP_R05_01,QARC_R05_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_05,NPC,Wispwater Warden,LATE,49-60,R05,MAP_R05_04,QARC_R05_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_06,NPC,Glowreed Scout,LATE,49-60,R05,MAP_R05_02,QARC_R05_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
NPC_R05_07,NPC,Starfall Keeper,LATE,49-60,R05,MAP_R05_05,DGN_05;DGN_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_01,MONSTER,Moorling,EARLY,1-4,R01,MAP_R01_02,R01,PARTIAL,LOCKED,PARTIAL,PARTIAL,P0,Canonical repaired Kit60/70/71 provenance
MON_R01_02,MONSTER,Copper Mole,EARLY,2-5,R01,MAP_R01_02,R01,PLANNED,LOCKED,PARTIAL,PLANNED,P0,Catalog directions/actions
MON_R01_03,MONSTER,Amber Sprout,EARLY,4-6,R01,MAP_R01_03,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_04,MONSTER,Goldleaf Slime,EARLY,5-7,R01,MAP_R01_03,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_05,MONSTER,Hearth Beetle,EARLY,6-9,R01,MAP_R01_04,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_06,MONSTER,Waystone Wisp,EARLY,8-10,R01,MAP_R01_04,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_07,MONSTER,Amberback Boar,EARLY,9-11,R01,MAP_R01_05,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R01_08,MONSTER,Vale Thornling,EARLY,10-12,R01,MAP_R01_05,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_01,MONSTER,Rootling,EARLY,13-15,R02,MAP_R02_02,R02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog cardinal directions
MON_R02_02,MONSTER,Crystal Beetle,EARLY,14-17,R02,MAP_R02_02,R02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog cardinal directions
MON_R02_03,MONSTER,Briar Imp,EARLY,16-18,R02,MAP_R02_03,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_04,MONSTER,Mossfang,EARLY,17-20,R02,MAP_R02_03,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_05,MONSTER,Thorncap,EARLY,19-21,R02,MAP_R02_04,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_06,MONSTER,Barkbound,MID,20-22,R02,MAP_R02_04,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_07,MONSTER,Hollow Moth,MID,21-23,R02,MAP_R02_05,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R02_08,MONSTER,Bramble Stag,MID,22-24,R02,MAP_R02_05,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_01,MONSTER,Lantern Moth,MID,25-27,R03,MAP_R03_02,R03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog cardinal directions
MON_R03_02,MONSTER,Tide Crab,MID,26-29,R03,MAP_R03_02,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_03,MONSTER,Coral Sprite,MID,28-30,R03,MAP_R03_03,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_04,MONSTER,Glassfin,MID,29-32,R03,MAP_R03_03,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_05,MONSTER,Shoal Wisp,MID,31-33,R03,MAP_R03_04,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_06,MONSTER,Reef Ram,MID,32-34,R03,MAP_R03_04,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_07,MONSTER,Stormshell,MID,33-35,R03,MAP_R03_05,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R03_08,MONSTER,Sunscale Drake,MID,34-36,R03,MAP_R03_05,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_01,MONSTER,Ember Imp,MID,37-39,R04,MAP_R04_02,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_02,MONSTER,Ash Mole,MID,38-41,R04,MAP_R04_02,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_03,MONSTER,Cinder Beetle,MID,40-42,R04,MAP_R04_03,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_04,MONSTER,Coalwing,MID,41-44,R04,MAP_R04_03,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_05,MONSTER,Crag Hound,LATE,43-45,R04,MAP_R04_04,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_06,MONSTER,Ironroot,LATE,44-46,R04,MAP_R04_04,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_07,MONSTER,March Salamander,LATE,45-47,R04,MAP_R04_05,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R04_08,MONSTER,Firecrest Drake,LATE,46-48,R04,MAP_R04_05,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_01,MONSTER,Ruins Wisp,LATE,49-51,R05,MAP_R05_02,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog cardinal directions
MON_R05_02,MONSTER,Fen Rootling,LATE,50-53,R05,MAP_R05_02,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Reuses verified family only after variant authoring
MON_R05_03,MONSTER,Glowcap,LATE,52-54,R05,MAP_R05_03,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_04,MONSTER,Star Slime,LATE,53-56,R05,MAP_R05_03,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_05,MONSTER,Mire Moth,LATE,55-57,R05,MAP_R05_04,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_06,MONSTER,Wispwater Eel,LATE,56-58,R05,MAP_R05_04,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_07,MONSTER,Fallen Sentinel,LATE,57-59,R05,MAP_R05_05,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
MON_R05_08,MONSTER,Constellation Drake,LATE,58-60,R05,MAP_R05_05,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R01_01,ELITE,Amberhide Alpha,EARLY,6-9,R01,MAP_R01_03,MON_R01_07,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R01_02,ELITE,Waystone Revenant,EARLY,9-12,R01,MAP_R01_04,MON_R01_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R02_01,ELITE,Ancient Rootbound,EARLY,17-20,R02,MAP_R02_03,MON_R02_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R02_02,ELITE,Briarhorn Alpha,MID,21-24,R02,MAP_R02_05,MON_R02_08,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R03_01,ELITE,Tideglass Colossus,MID,29-32,R03,MAP_R03_03,MON_R03_02,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R03_02,ELITE,Stormscale Alpha,MID,33-36,R03,MAP_R03_05,MON_R03_08,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R04_01,ELITE,Ironroot Ancient,LATE,41-45,R04,MAP_R04_04,MON_R04_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R04_02,ELITE,Marchfire Alpha,LATE,45-48,R04,MAP_R04_05,MON_R04_08,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R05_01,ELITE,Fallen Astral Guard,LATE,53-57,R05,MAP_R05_03,MON_R05_07,PLANNED,LOCKED,MISSING,PLANNED,P1,
ELITE_R05_02,ELITE,Starfen Alpha,LATE,57-60,R05,MAP_R05_05,MON_R05_08,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_R01_01,MINIBOSS,Bellhide Grazer,EARLY,12,R01,MAP_R01_05,R01,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_R02_01,MINIBOSS,Crownroot Stag,EARLY,24,R02,MAP_R02_05,R02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Root Guardian source family requires collision review
BOSS_R03_01,MINIBOSS,Saltcrown Matron,MID,36,R03,MAP_R03_05,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_R04_01,MINIBOSS,Ashmantle Ram,LATE,48,R04,MAP_R04_05,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_R05_01,MINIBOSS,Cometback Behemoth,LATE,60,R05,MAP_R05_05,R05,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D01,DUNGEON_BOSS,The Gilded Burrower,EARLY,12,R01,DGN_01,DGN_01,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D02,DUNGEON_BOSS,The Thornbound King,EARLY,24,R02,DGN_02,DGN_02,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D03,DUNGEON_BOSS,The Glass-Tide Queen,MID,36,R03,DGN_03,DGN_03,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D04,DUNGEON_BOSS,The Ashen Warden,LATE,48,R04,DGN_04,DGN_04,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D05,DUNGEON_BOSS,The Fen Oracle,LATE,58-60,R05,DGN_05,DGN_05,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_D06,DUNGEON_BOSS,The Fallen Star,LATE,60,R05,DGN_06,DGN_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_RAID_01,RAID_BOSS,Worldroot Behemoth,ENDGAME,60,R02,RAID_01,RAID_01,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_RAID_02,RAID_BOSS,Sunforge Dragon,ENDGAME,60,R04,RAID_02,RAID_02,PLANNED,LOCKED,MISSING,PLANNED,P1,
BOSS_RAID_03,RAID_BOSS,Astral Fen Sovereign,ENDGAME,60,R05,RAID_03,RAID_03,PLANNED,LOCKED,MISSING,PLANNED,P1,
DGN_01,DUNGEON,Rootbound Cellar,EARLY,10-12,R01,MAP_R01_05,BOSS_D01,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog mine/cave entrance sources
DGN_02,DUNGEON,Thornvault Burrows,EARLY,22-24,R02,MAP_R02_05,BOSS_D02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog dungeon source sheets
DGN_03,DUNGEON,Brineglass Grotto,MID,34-36,R03,MAP_R03_05,BOSS_D03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog crystal-cave source
DGN_04,DUNGEON,Embervein Foundry,LATE,46-48,R04,MAP_R04_05,BOSS_D04,PLANNED,LOCKED,MISSING,PLANNED,P1,
DGN_05,DUNGEON,Fallen Star Archive,LATE,56-60,R05,MAP_R05_05,BOSS_D05,PLANNED,LOCKED,MISSING,PLANNED,P1,
DGN_06,DUNGEON,Nightglass Depths,LATE,60,R05,MAP_R05_05,BOSS_D06,PLANNED,LOCKED,MISSING,PLANNED,P1,
RAID_01,RAID,The Drowned Orrery,ENDGAME,60,R03,RAID_01,BOSS_RAID_01,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog raid entrances only
RAID_02,RAID,The Caldera Ward,ENDGAME,60,R04,RAID_02,BOSS_RAID_02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog raid entrances only
RAID_03,RAID,Heart of Starfall,ENDGAME,60,R05,RAID_03,BOSS_RAID_03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Catalog raid entrances only
CLS_01,CLASS,Briar Vanguard,CURRENT,1-60,,,SKILL_C01_01..03,PARTIAL,LOCKED,PARTIAL,PARTIAL,P0,Melee tank
CLS_02,CLASS,Gale Strider,EARLY,1-60,,,SKILL_C02_01..03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Ranged damage
CLS_03,CLASS,Ember Arcanist,MID,1-60,,,SKILL_C03_01..03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Magic damage
CLS_04,CLASS,Bloom Warden,MID,1-60,,,SKILL_C04_01..03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Support control
SP_C01_01,MANTLE,Thorn Bastion,EARLY,20-60,,,CLS_01;SKILL_C01_01,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Vanguard offense
SP_C01_02,MANTLE,Sunsteel Duelist,MID,35-60,,,CLS_01;SKILL_C01_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Vanguard defense
SP_C02_01,MANTLE,Tempest Ranger,EARLY,20-60,,,CLS_02;SKILL_C02_01,PLANNED,LOCKED,MISSING,PLANNED,P1,Ranger mobility
SP_C02_02,MANTLE,Veilrunner,MID,35-60,,,CLS_02;SKILL_C02_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Ranger burst
SP_C03_01,MANTLE,Cinder Sage,EARLY,20-60,,,CLS_03;SKILL_C03_01,PLANNED,LOCKED,MISSING,PLANNED,P1,Arcanist fire/light
SP_C03_02,MANTLE,Tideshaper,MID,35-60,,,CLS_03;SKILL_C03_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Arcanist astral
SP_C04_01,MANTLE,Grovekeeper,EARLY,20-60,,,CLS_04;SKILL_C04_01,PLANNED,LOCKED,MISSING,PLANNED,P1,Warden healing
SP_C04_02,MANTLE,Starcaller,MID,35-60,,,CLS_04;SKILL_C04_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Warden control
SKILL_C01_01,SKILL_FAMILY,Vanguard Assault,CURRENT,1-60,,,CLS_01,PARTIAL,LOCKED,PARTIAL,PARTIAL,P0,Four active skill identities
SKILL_C01_02,SKILL_FAMILY,Vanguard Guard,EARLY,10-60,,,CLS_01,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
SKILL_C01_03,SKILL_FAMILY,Vanguard Utility,EARLY,15-60,,,CLS_01,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
SKILL_C02_01,SKILL_FAMILY,Ranger Shot,EARLY,1-60,,,CLS_02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Four active skill identities
SKILL_C02_02,SKILL_FAMILY,Ranger Trap,EARLY,10-60,,,CLS_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
