ASSET_ID,CONTENT_ID,CATEGORY,SUBCATEGORY,REGION,MAP,LEVEL_BAND,CLASS,SP,DESCRIPTION,PURPOSE,PRIORITY,PHASE,STATUS,EXISTING_SOURCE,NEW_ASSET_REQUIRED,VARIANT_COUNT,DIRECTION_COUNT,STATE,FRAME_OR_KEYPOSE_COUNT,TOTAL_EXPECTED_OUTPUT_FILES,SOURCE_RESOLUTION,RUNTIME_RESOLUTION_POLICY,TRANSPARENCY,PIVOT,MIRROR_ALLOWED,LAYERING,SOCKETS,VFX_REQUIRED,ICON_REQUIRED,PORTRAIT_REQUIRED,GODOT_PROCEDURAL_SUPPORT,MOBILE_COST_CLASS,ATLAS_ELIGIBLE,LOD_REQUIRED,DEPENDENCIES,TARGET_PATH,VISUAL_SPEC_ID,CREATION_CARD_ID,POSE_SPEC,FACING_SPEC,SUBJECT_SCALE,SUBJECT_BOUNDS,GROUND_CONTACT,HEAD_SOCKET,MAIN_HAND_SOCKET,OFFHAND_SOCKET,VFX_SOCKET,DEPTH_POLICY,ANIMATION_TIMING_PROFILE,REFERENCE_ASSET_IDS,ROTATION_CERTIFICATION,NOTES
AST_EQ_ARMOR_BASE,EQ_T01..06,EQUIPMENT,ARMOR_BASE,,,,,,Six tier armor identities for male and female,Visible gear progression,P1,LAUNCH,PARTIAL,characters/equipment/armor/*.png,YES,12,8,idle,1,96,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,armor over body,inherit body,NO,YES,NO,equipment compositing,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/equipment/armor/<tier>/<body>/<direction>/,EQ_01,CARD_EQ_TEMPLATE,idle overlay,8 directions,both bodies,padded,feet fixed,inherit,inherit,NONE,inherit,armor follows body,idle,armor catalog families,EIGHT_DIRECTION_PENDING,Forest leather knight arcane sources reduce concept work
AST_EQ_ACTIONS,EQ_T01..06,EQUIPMENT,ARMOR_ACTION,,,,,,Tier armor combat overlays,Visible synchronized combat,P1,LAUNCH,MISSING,AST_M0431B_ARMOR,YES,12,4,windup|commit,2,96,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,armor over body,inherit body,NO,NO,NO,equipment compositing,MEDIUM,NO,NO,AST_EQ_ARMOR_BASE;AST_CLASS_C01_MELEE,characters/equipment/armor/<tier>/<body>/actions/,EQ_02,CARD_EQ_TEMPLATE,match class action,cardinals,both bodies,padded,feet fixed,inherit,inherit,NONE,inherit,armor follows body,pose index lock,AST_M0431B_ARMOR,FOUR_CARDINAL_PENDING,Count is 6 tiers x2 bodies x4 dirs x2 poses
AST_EQ_WEAPONS,EQ_T01..06,EQUIPMENT,WEAPONS,,,,,,Six tiers across four weapon families,Visible weapon progression,P1,LAUNCH,PARTIAL,characters/equipment/weapons;items/weapons,YES,24,1,idle,1,24,source,fit sockets,STRAIGHT_ALPHA,grip point,CONDITIONAL,weapon layer,main|offhand,YES,YES,NO,socket transform,LOW,YES,NO,AST_CLASS_C01_MELEE..AST_CLASS_C04_SUPPORT,characters/equipment/weapons/<family>/<tier>.png,EQ_03,CARD_EQ_TEMPLATE,neutral weapon,profile,hand readable,tight bounds,grip,NOT_REQUIRED,required,optional,tip/socket,per direction,procedural socket motion,catalog weapon sources,PROFILE_CERTIFIED_PENDING,One file per tier-family
AST_SP_BODIES,SP_C01_01..SP_C04_02,SP,BODY_REPLACEMENT,,,,,,Eight Mantle visual profiles in two bodies,Transformation identity,P1,LAUNCH,MISSING,none,YES,16,8,idle,1,128,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body replacement,head|hands|vfx,YES,YES,YES,profile swap only,HIGH,NO,NO,AST_PLAYER_IDLE_8D,characters/sp/<sp>/<body>/idle/<direction>.png,SP_01,CARD_SP_TEMPLATE,idle,8 directions,both bodies,padded,feet fixed,required,required,required,required,profile-specific,idle,canonical base,EIGHT_DIRECTION_PENDING,8 Mantles x2 bodies x8
AST_SP_ACTIONS,SP_C01_01..SP_C04_02,SP,ACTION_KEYPOSES,,,,,,Eight Mantle signature action sets in two bodies,Distinct playstyle,P1,LAUNCH,MISSING,none,YES,16,4,windup|commit|release|recover,4,256,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body replacement,head|hands|vfx,YES,YES,YES,timing and VFX,HIGH,NO,NO,AST_SP_BODIES,characters/sp/<sp>/<body>/actions/<direction>/<pose>.png,SP_02,CARD_SP_TEMPLATE,4 signature poses,cardinals,both bodies,padded,feet fixed,required,required,required,required,profile-specific,profile timing,AST_CLASS_C01_MELEE..AST_CLASS_C04_SUPPORT,FOUR_CARDINAL_PENDING,8 Mantles x2 bodies x4 dirs x4
AST_SP_PORTRAITS,SP_C01_01..SP_C04_02,PORTRAIT,SP_PORTRAIT,,,,,,Mantle profile portraits,Menus and transformation,P2,LAUNCH,MISSING,none,YES,16,1,portrait,1,16,1024x1024,downscale variants,STRAIGHT_ALPHA,center,NO,portrait,NONE,NO,YES,YES,downscale,MEDIUM,YES,NO,AST_SP_BODIES,ui/portraits/sp/<sp>_<body>.png,PORTRAIT_01,CARD_PORTRAIT_TEMPLATE,bust,front,bust,safe area,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,flat portrait,NOT_REQUIRED,AST_SP_BODIES,FRONT_CERTIFIED,Two bodies per Mantle
AST_WORLD_GROUND,R01..R05,GROUND_PATH,TERRAIN,ALL,ALL,1-60,,,Terrain road water and transitions,Traversable world foundation,P0,CURRENT,READY,world/terrain;world/roads,NO,28,1,tile,1,28,source,keep native,STRAIGHT_ALPHA,tile origin,YES,ground,NONE,NO,NO,NO,tiling and blend,LOW,YES,NO,,world/terrain/;world/roads/,WORLD_01,NONE,tile,oblique,world scale,seam-safe,tile origin,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,ground plane,static,world catalog,STATIC_CERTIFIED,Readiness says terrain 13 and roads 15 READY
AST_WORLD_BUILDINGS,R01..R05,BUILDINGS,MODULAR,ALL,MAP_Rxx_01,1-60,,,Hub and field buildings,World identity,P0,CURRENT,READY,world/buildings,NO,44,1,static,1,44,source,keep native,STRAIGHT_ALPHA,footprint,NO,roof;walls;foundation,NONE,NO,NO,NO,occlusion fade,MEDIUM,YES,CONDITIONAL,AST_WORLD_GROUND,world/buildings/,WORLD_02,NONE,static oblique,fixed view,building scale,tight alpha,footprint,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,roof fade and depth,static,world/buildings,STATIC_CERTIFIED,Readiness 44 production assets
AST_WORLD_VEGETATION,R01..R05,ENVIRONMENT,VEGETATION,ALL,ALL,1-60,,,Regional vegetation library,Region silhouette and occlusion,P0,LAUNCH,PARTIAL,world/vegetation;references/source_sheets,YES,60,1,static,1,60,source,extract and normalize,STRAIGHT_ALPHA,base contact,YES,foreground|midground,NONE,NO,NO,NO,occlusion fade,LOW,YES,CONDITIONAL,AST_WORLD_GROUND,world/vegetation/<region>/,WORLD_03,CARD_ENV_TEMPLATE,static oblique,fixed view,prop-to-tree,tight alpha,base contact,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,depth by footpoint,static,kit03;kit11;verified kit21,STATIC_CERTIFIED,Four verified kit21 children; most remain source sheets
AST_WORLD_PROPS,R01..R05,ENVIRONMENT,PROPS,ALL,ALL,1-60,,,Regional prop library,Composition and landmarks,P1,LAUNCH,PARTIAL,references/source_sheets;world/portals,YES,50,1,static,1,50,source,extract and normalize,STRAIGHT_ALPHA,base contact,YES,foreground|midground,NONE,NO,NO,NO,none,LOW,YES,NO,AST_WORLD_GROUND,world/props/<region>/,WORLD_04,CARD_ENV_TEMPLATE,static oblique,fixed view,prop scale,tight alpha,base contact,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,optional,depth by footpoint,static,kit06;kit31;kit40,STATIC_CERTIFIED,Props mostly source-only
AST_WORLD_ELEVATION,R01..R05,ENVIRONMENT,ELEVATION,ALL,ALL,1-60,,,Ramps cliffs and stairs,Height readability,P0,CURRENT,READY,world/elevation,NO,16,1,static,1,16,source,keep native,STRAIGHT_ALPHA,connector origin,NO,ground,NONE,NO,NO,NO,height logic,LOW,YES,NO,AST_WORLD_GROUND,world/elevation/,WORLD_05,NONE,static oblique,fixed view,world scale,seam-safe,connector,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,ground plane,static,world/elevation,STATIC_CERTIFIED,Readiness 16 READY
AST_WORLD_PORTALS,R01..R05,ENVIRONMENT,PORTALS,ALL,ALL,1-60,,,Region dungeon and travel portals,Transitions,P1,EARLY,PARTIAL,world/portals,YES,6,1,inactive|active,1,12,source,keep native,STRAIGHT_ALPHA,base contact,NO,arch;glow,NONE,YES,NO,NO,glow animation,MEDIUM,YES,NO,AST_WORLD_GROUND,world/portals/<region>/,WORLD_06,CARD_ENV_TEMPLATE,static plus state,fixed view,landmark,tight alpha,base contact,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,glow front,loop,world/portals,STATIC_CERTIFIED,Six existing forms need state pairing
AST_UI_HUD_CORE,END_01,UI,MOBILE_HUD,,,,,,Landscape and portrait gameplay HUD,Touch-native play,P0,VERTICAL_SLICE,PARTIAL,ui/hud;ui/touch;ui/target;ui/map,YES,2,1,landscape|portrait,1,2,vector/source,device scale,STRAIGHT_ALPHA,anchors,YES,screen layers,NONE,NO,NO,NO,responsive layout,LOW,YES,NO,AST_PLAYER_IDLE_8D,ui/layouts/gameplay_<orientation>.tres,UI_MOBILE_01,CC_002C,NOT_REQUIRED,NOT_REQUIRED,safe-area,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,screen-space,NOT_REQUIRED,ui/hud/player_status_panel.png;ui/touch,ORIENTATION_CERTIFIED_PENDING,Deliverable yes; authored raster output no; composes existing UI art
AST_UI_SCREENS,END_01,UI,SCREENS,,,,,,Full launch screen inventory,Menus and social systems,P1,LAUNCH,PARTIAL,ui/,YES,34,2,landscape|portrait,1,68,source,9-slice and responsive,MIXED,anchors,YES,screen layers,NONE,NO,YES,YES,responsive assembly,MEDIUM,YES,NO,AST_UI_HUD_CORE,ui/layouts/<screen>_<orientation>.tres,UI_MOBILE_02,CARD_UI_TEMPLATE,NOT_REQUIRED,NOT_REQUIRED,safe-area,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,screen-space,NOT_REQUIRED,ui catalog,ORIENTATION_CERTIFIED_PENDING,Deliverable yes; authored raster output no; reuses existing panel art
AST_NPC_R01_IDLE,NPC_R01_01..07,NPC,DIRECTIONAL,R01,MAP_R01_01..05,1-12,,,Seven Amberway NPC idles,Quest and services,P0,EARLY,PARTIAL,npcs/merchant;npcs/blacksmith,YES,7,8,idle,1,56,512x512,normalize,STRAIGHT_ALPHA,"256;468",CONDITIONAL,body,NONE,NO,YES,YES,idle bob only,LOW,YES,NO,AST_WORLD_BUILDINGS,npcs/R01/<npc>/directions/,NPC_01,CARD_NPC_TEMPLATE,idle,8 directions,chibi,padded,feet fixed,optional,optional,NONE,optional,foot-depth sort,idle,merchant;blacksmith,EIGHT_DIRECTION_PENDING,Merchant and blacksmith directions available
AST_NPC_R02_R05_IDLE,NPC_R02_01..NPC_R05_07,NPC,DIRECTIONAL,R02-R05,MAP_R02_01..MAP_R05_05,13-60,,,Twenty-eight regional NPC idles,Quest and services,P1,LAUNCH,MISSING,npcs/merchant;npcs/blacksmith,YES,28,8,idle,1,224,512x512,normalize,STRAIGHT_ALPHA,"256;468",CONDITIONAL,body,NONE,NO,YES,YES,idle bob only,LOW,YES,NO,AST_NPC_R01_IDLE,npcs/<region>/<npc>/directions/,NPC_01,CARD_NPC_TEMPLATE,idle,8 directions,chibi,padded,feet fixed,optional,optional,NONE,optional,foot-depth sort,idle,AST_NPC_R01_IDLE,EIGHT_DIRECTION_PENDING,Role variants must remain visually distinct
AST_MON_STD_IDLE,MON_R01_01..MON_R05_08,MONSTER,DIRECTIONAL,ALL,ALL,1-60,,,Forty standard monster idles,Field combat identity,P0,LAUNCH,PARTIAL,monsters/moorling;monsters/copper_mole;monsters/rootling;monsters/crystal_beetle;monsters/lantern_moth;monsters/ruins_wisp,YES,40,4,idle,1,160,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body,hit|vfx,NO,YES,NO,idle bob,LOW,YES,NO,AST_WORLD_GROUND,monsters/<content_id>/idle/<direction>.png,MON_01,CARD_MON_TEMPLATE,idle,cardinals,monster scale,padded,feet/base,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,foot-depth sort,idle,catalog monster families,FOUR_CARDINAL_PENDING,Six catalog identities partially cover directions
AST_MON_STD_WALK,MON_R01_01..MON_R05_08,MONSTER,LOCOMOTION,ALL,ALL,1-60,,,Forty standard monster walk cycles,Directional traversal,P0,LAUNCH,MISSING,none,YES,40,4,walk,4,640,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body,hit|vfx,NO,NO,NO,cycle timing,MEDIUM,NO,NO,AST_MON_STD_IDLE,monsters/<content_id>/walk/<direction>/<frame>.png,MON_02,CARD_MON_TEMPLATE,4-frame walk,cardinals,monster scale,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,foot-depth sort,8fps,none,FOUR_CARDINAL_PENDING,Readiness explicitly marks walk missing
AST_MON_STD_ATTACK,MON_R01_01..MON_R05_08,MONSTER,COMBAT,ALL,ALL,1-60,,,Forty standard monster attack keyposes,Combat telegraph,P0,LAUNCH,PARTIAL,monsters/moorling/animations/attack_*;monsters/copper_mole/animations/attack_*,YES,40,4,windup|commit,2,320,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body,hit|vfx,YES,NO,NO,held impact and recovery,MEDIUM,NO,NO,AST_MON_STD_IDLE,monsters/<content_id>/attack/<direction>/<pose>.png,MON_03,CARD_MON_TEMPLATE,windup and commit,cardinals,monster scale,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,attack_origin,per-facing,0.7s family profile,Kit70;Kit72,FOUR_CARDINAL_PENDING,Moorling and copper mole nondirectional frames seed art
AST_MON_STD_HIT,MON_R01_01..MON_R05_08,MONSTER,COMBAT,ALL,ALL,1-60,,,Forty standard monster hit keyposes,Damage readability,P1,LAUNCH,PARTIAL,monsters/moorling/animations/hit_*;monsters/copper_mole/animations/hit_*,YES,40,4,hit,1,160,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body,hit|vfx,YES,NO,NO,tween recoil,LOW,YES,NO,AST_MON_STD_IDLE,monsters/<content_id>/hit/<direction>.png,MON_04,CARD_MON_TEMPLATE,hit,cardinals,monster scale,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,per-facing,0.2s,Kit71;Kit73,FOUR_CARDINAL_PENDING,Existing frames not direction-bound
AST_MON_STD_DEFEATED,MON_R01_01..MON_R05_08,MONSTER,COMBAT,ALL,ALL,1-60,,,Forty standard monster defeated keyposes,Defeat and loot readability,P1,LAUNCH,PARTIAL,monsters/moorling/animations/defeated_*;monsters/copper_mole/animations/defeated_*,YES,40,4,defeated,1,160,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body,loot,NO,NO,NO,fade and settle,LOW,YES,NO,AST_MON_STD_IDLE,monsters/<content_id>/defeated/<direction>.png,MON_05,CARD_MON_TEMPLATE,defeated,cardinals,monster scale,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,loot_origin,grounded,0.5s,Kit71;Kit73,FOUR_CARDINAL_PENDING,Existing frames not direction-bound
AST_ELITE_VISUALS,ELITE_R01_01..ELITE_R05_02,ELITE,FULL_SET,ALL,ALL,6-60,,,Ten elite full directional combat sets,Elite recognition,P1,LAUNCH,MISSING,AST_MON_STD_IDLE,YES,10,4,idle|walk|attack|hit|defeated,9,360,512x512,normalize,STRAIGHT_ALPHA,ground contact,NO,body;accent,hit|vfx,YES,YES,NO,timing and aura,MEDIUM,NO,NO,AST_MON_STD_IDLE..AST_MON_STD_DEFEATED,monsters/elites/<content_id>/<state>/,ELITE_01,CARD_MON_TEMPLATE,1 idle+4 walk+2 attack+1 hit+1 defeated,cardinals,110% base,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,attack_origin,accent front/back,elite profile,standard monster references,FOUR_CARDINAL_PENDING,10 x4 x9 outputs
AST_MINIBOSS_VISUALS,BOSS_R01_01..BOSS_R05_01,MINIBOSS,FULL_SET,ALL,ALL,12-60,,,Five regional miniboss sets,Region climax,P1,LAUNCH,MISSING,monsters/root_guardian,YES,5,4,idle|walk|attack|hit|defeated,11,220,768x768,downscale at runtime,STRAIGHT_ALPHA,ground contact,NO,body;accent,hit|vfx,YES,YES,YES,timing and hazards,HIGH,NO,CONDITIONAL,AST_MON_STD_IDLE,Bosses/miniboss/<content_id>/<state>/,BOSS_01,CARD_BOSS_TEMPLATE,1 idle+4 walk+4 attack+1 hit+1 defeated,cardinals,150% monster,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,attack_origin,depth by footprint,boss profile,root_guardian,FOUR_CARDINAL_PENDING,Root Guardian is PARTIAL and collision-affected
AST_DUNGEON_BOSS_VISUALS,BOSS_D01..BOSS_D06,BOSS,DUNGEON_BOSS,ALL,DGN_01..06,12-60,,,Six dungeon boss sets,Dungeon climax,P1,LAUNCH,MISSING,none,YES,6,4,idle|walk|attack|hit|defeated,13,312,1024x1024,downscale at runtime,STRAIGHT_ALPHA,ground contact,NO,body;weakpoint;accent,hit|vfx,YES,YES,YES,timing and hazards,HIGH,NO,YES,AST_DUNGEON_KITS,Bosses/dungeon/<content_id>/<state>/,BOSS_02,CARD_BOSS_TEMPLATE,1 idle+4 walk+6 attack+1 hit+1 defeated,cardinals,180% monster,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,attack_origin,depth by footprint,boss profile,AST_MINIBOSS_VISUALS,FOUR_CARDINAL_PENDING,6 x4 x13 outputs
AST_RAID_BOSS_VISUALS,BOSS_RAID_01..BOSS_RAID_03,RAID_BOSS,FULL_SET,ALL,RAID_01..03,60,,,Three raid boss sets,Raid spectacle and mechanics,P1,ENDGAME,MISSING,none,YES,3,4,idle|move|attacks|hit|defeated,18,216,1536x1536,LOD downscale,STRAIGHT_ALPHA,ground contact,NO,body;weakpoints;accent,hits|mechanics|vfx,YES,YES,YES,timing hazards and phase swaps,HIGH,NO,YES,AST_RAID_KITS,Bosses/raid/<content_id>/<state>/,RAID_BOSS_01,CARD_BOSS_TEMPLATE,1 idle+4 move+11 attacks+1 hit+1 defeated,cardinals,large raid,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,multiple vfx sockets,depth by footprint,phase profiles,AST_DUNGEON_BOSS_VISUALS,FOUR_CARDINAL_PENDING,3 x4 x18 outputs
